Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0979,-1,-1,0.83537326,-1,0.062,0.0116,5e-4,0.0045,0.0819,0.061,-1,0.0024,-1,1.0024,-1,0.1569,0.0041,0.0023,0.0092
-1,5e-4,0.0183,-1,-1,0.0314,0.0919,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0731,-1,-1,-1
0.046,7e-4,0.0099,-1,-1,0.039,0.2132,7e-4,-1,-1,0.0379,-1,0.0021,-1,-1,-1,0.0741,-1,0.0023,-1
-1,-1,0.0098,-1,0.0019,0.0276,0.0128,-1,-1,-1,0.0376,0.001,0.007,-1,0.8457,-1,-1,-1,0.0115,-1
-1,-1,0.0083,-1,-1,0.029,0.0042,-1,0.0058,0.0691,-1,-1,0.0026,-1,-1,-1,0.0705,0.0041,0.0022,0.0107
0.0502,0.0011,-1,0.66023056,-1,0.0297,-1,0.0012,-1,-1,-1,2e-4,0.0017,-1,0.8363,-1,0.0621,0.0029,0.0026,0.0096
-1,-1,-1,0.99969618,-1,-1,-1,8e-4,0.0043,-1,-1,-1,0.0038,0.0056,0.7837,-1,-1,-1,0.004,-1
-1,-1,-1,-1,-1,0.0321,0.0025,5e-4,-1,-1,-1,-1,-1,-1,-1,-1,0.0581,-1,-1,0.0207
-1,-1,-1,-1,-1,0.0322,-1,-1,0.0043,-1,-1,-1,0.002,-1,-1,-1,0.0647,-1,-1,0.0149
0.0685,-1,-1,-1,-1,0.0379,0.0036,-1,-1,0.0624,0.0388,-1,-1,0.0138,-1,-1,0.2082,0.0042,-1,0.0215
-1,8e-4,-1,-1,-1,-1,0.0084,-1,-1,-1,-1,-1,0.0019,-1,-1,-1,-1,-1,-1,0.025
0.0607,0.0024,0.0255,0.69425799,0.0015,0.0376,0.0046,6e-4,0.006,0.1664,0.0531,-1,0.0043,0.0101,0.8086,-1,0.1427,0.008,0.0039,0.0161
0.1391,4e-4,0.0201,0.75068368,8e-4,0.0609,0.004,9e-4,0.0034,0.1175,0.0692,-1,0.0027,0.0083,1.4833,-1,0.2538,0.0071,-1,0.0103
0.1055,0.0015,-1,0.64407083,-1,0.0713,-1,5e-4,0.0079,0.085,0.0478,-1,-1,-1,1.0107,-1,0.1778,0.0044,-1,0.0106
0.0695,0.0013,-1,-1,0.0012,0.0513,-1,6e-4,0.0045,0.0685,-1,-1,0.004,-1,-1,-1,0.1361,0.0043,0.0042,-1
0.0798,-1,-1,0.83342014,-1,-1,0.0029,-1,0.0049,-1,0.0408,3e-4,0.0039,-1,2.456,-1,0.1016,0.0033,0.0052,0.0102
0.0798,0.001,-1,0.59159444,-1,0.0389,-1,-1,-1,-1,-1,-1,-1,0.0056,-1,-1,0.146,0.0036,-1,-1
0.0723,0.0022,0.0153,-1,-1,0.0373,-1,-1,0.0043,0.086,0.0476,1e-4,0.0028,0.0051,-1,-1,0.1387,0.0047,0.003,0.0098
0.0876,0.0021,0.0222,-1,-1,0.0363,-1,8e-4,-1,0.0973,0.0389,5e-4,0.0039,-1,-1,-1,0.1543,0.0049,0.0062,-1
0.1329,0.0012,0.0156,0.96540694,-1,0.0675,-1,5e-4,0.0065,0.1165,0.0391,-1,0.0045,-1,-1,-1,0.3097,0.0057,0.0039,0.0088
0.0443,-1,0.0251,1.21823785,-1,0.0327,-1,-1,-1,0.0889,-1,-1,0.0046,-1,1.1253,-1,0.0636,-1,0.0065,0.0087
0.0452,-1,-1,1.33832292,-1,0.0401,0.0026,-1,-1,0.0778,-1,0.0015,0.0043,0.0056,1.808,-1,0.0693,0.0045,0.003,0.0143
-1,-1,-1,1.04187326,8e-4,0.0323,-1,7e-4,0.0042,0.0641,-1,-1,0.0061,0.0088,-1,-1,-1,-1,0.0022,0.0175
-1,0.0014,0.0108,1.06306771,9e-4,0.0359,-1,0.0012,0.0066,0.0755,-1,0.002,0.0047,0.0061,1.2826,-1,-1,0.0031,0.0051,0.0231
-1,-1,0.0185,-1,-1,-1,-1,-1,0.0056,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0021,-1
-1,-1,0.0213,-1,4e-4,-1,-1,-1,0.0052,0.0787,-1,-1,-1,-1,-1,-1,0.0629,0.0032,-1,-1
-1,0.0027,-1,-1,4e-4,-1,-1,-1,-1,-1,-1,-1,0.0023,-1,0.7614,-1,-1,-1,0.0023,0.0098
-1,-1,-1,-1,3e-4,-1,-1,9e-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.0468,0.0014,0.0193,0.65650069,-1,0.0562,0.004,-1,0.0094,0.1088,-1,0.0019,0.0056,0.0075,-1,-1,0.0632,0.0053,0.0085,0.0212
0.0543,5e-4,0.027,1.40192708,-1,0.0525,-1,-1,0.0067,0.0591,-1,-1,0.0086,0.0067,-1,-1,0.0704,-1,0.0039,0.027
-1,7e-4,-1,-1,-1,0.0485,0.07,-1,-1,-1,-1,-1,0.0052,-1,-1,7e-4,-1,-1,0.0026,0.0185
0.0658,9e-4,-1,-1,-1,0.0702,0.0033,-1,0.0058,0.0879,0.0499,0.0013,0.0097,0.0071,1.0929,-1,0.139,0.0049,0.0088,0.021
0.0686,0.0011,-1,0.95936069,0.0014,0.0459,-1,-1,0.0068,0.0982,0.0448,0.0027,-1,0.0092,0.8359,-1,0.1144,0.0046,0.0038,0.0168
0.1153,-1,-1,1.01130208,5e-4,0.0579,0.0027,-1,0.0052,0.1204,0.0504,7e-4,0.0049,0.0092,0.9595,-1,0.1719,0.0066,0.0047,0.0114
0.1154,0.001,-1,0.64905486,7e-4,0.0589,0.0046,-1,-1,0.1003,0.0516,-1,0.0018,-1,0.8681,-1,0.2079,0.0076,0.0031,0.0094
0.0495,8e-4,-1,0.78929861,-1,0.0404,0.0031,-1,0.0064,0.068,-1,-1,0.003,0.0091,-1,-1,0.0916,0.003,0.0025,0.0097
-1,0.0016,-1,0.82240625,0.0014,0.0363,-1,5e-4,-1,0.057,-1,-1,0.0046,-1,-1,-1,0.0665,0.0031,0.0029,0.0098
-1,-1,0.0129,0.83605972,0.0014,0.0279,0.0048,8e-4,0.0044,-1,-1,5e-4,-1,-1,0.8142,0.0036,-1,-1,-1,0.0167
-1,-1,-1,-1,0.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0029,-1,-1
