Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0492,-1,0,0.87072049,0.0019,0.0526,0.0049,3e-4,0.0063,-1,0.0529,0.0024,0.0117,0.0071,1.0486,0,0.0966,0.0038,0.0112,0.0218
0.0795,0.0022,0.0052,0.82110417,0,0.0445,0.0059,5e-4,0.0036,0.0838,0.0583,0.002,0.0082,0.0077,0.8937,0,0.1369,0.0036,0.0069,-1
0.0431,8e-4,0.0099,0.74609201,0.0025,0.0356,-1,0.0014,-1,0.0583,0.0343,0,0.0035,0.0071,0.5916,-1,0.0992,0.0017,0.0026,0.0148
0.037,0.0011,0.0095,-1,1e-4,0.0247,0.0052,2e-4,0.0034,0.0442,0.0404,7e-4,0.002,0.0026,0.5427,-1,0.066,0.0049,0.0014,0.0071
0.0571,0,0.0093,0.2457434,-1,0.0283,-1,3e-4,0.0016,0.0683,0.0409,0,0.0058,0.0048,0.6795,0,0.0724,0.0047,0.0056,0.01
-1,0.0019,0.0159,0.65255382,-1,0.032,0.0019,3e-4,0.0061,0.0622,0.0436,8e-4,-1,-1,0.8059,0,0.0967,0.0038,0.0024,0.0076
0.1201,0.0024,0.0183,0.65718403,-1,0.0675,0.0046,4e-4,0.0012,0.11,0.0819,-1,-1,0.0063,2.1292,0,0.1951,0.0079,0.0042,0.0183
-1,0,0.0063,0.83537326,0,0.062,0.0116,5e-4,0.0045,0.0819,0.061,0,0.0024,0.0044,1.0024,0,0.1569,0.0041,0.0023,0.0092
0.0412,5e-4,-1,0.36901674,0,0.0314,0.0919,0,0.0024,0.0407,0.0278,0,0.0012,0.0013,0.4738,0,0.0731,0.0025,-1,0.0053
0.046,7e-4,0.0099,0.38172743,0,0.039,-1,7e-4,5e-4,0.0422,0.0379,0,0.0021,0.0013,0.574,0,0.0741,0.0022,0.0023,0.005
0.036,0,0.0098,0.42307778,0.0019,0.0276,0.0128,1e-4,0.001,0.0427,0.0376,0.001,-1,0.0038,0.8457,0,0.0471,0.0021,0.0115,0.0046
0.0358,0,0.0083,-1,0,-1,0.0042,1e-4,0.0058,0.0691,0.0315,0,0.0026,0.0033,0.688,0,-1,0.0041,0.0022,0.0107
0.0502,0.0011,0,0.66023056,0,0.0297,0.002,0.0012,0,0.0536,0.0323,2e-4,0.0017,0.0041,0.8363,0,0.0621,0.0029,0.0026,0.0096
0.0165,3e-4,0,0.99969618,0,0.0183,0.001,8e-4,0.0043,0.0388,0.0123,0,0.0038,0.0056,0.7837,0,0.0249,0.0015,0.004,0.0044
0.0216,0,0.0015,-1,0,0.0321,0.0025,5e-4,6e-4,0.0321,0.0206,0,5e-4,0.0042,0.3682,-1,0.0581,0.0024,6e-4,0.0207
0.0388,0,0,-1,0,0.0322,3e-4,3e-4,0.0043,0.0479,0.0224,0,0.002,0.0048,0.4059,0,0.0647,-1,0.0011,0.0149
0.0685,0,0.005,0.4639816,0,-1,0.0036,3e-4,6e-4,0.0624,0.0388,0,7e-4,0.0138,0.4672,-1,0.2082,0.0042,0.0018,0.0215
